Assignment,Requirement,Original Filename,Current Uploaded Filename,Clean Filename,Clean Web Path
week2-1,contrast-within-shot,Split Lighting - James.JPG,49_Split_Lighting_-_James.jpg,week2-1-contrast-within-shot.jpg,img/real_img/week2-1-contrast-within-shot.jpg
week2-1,affinity-within-shot,IMG_1337.jpg,40_IMG_1337.jpg,week2-1-affinity-within-shot.jpg,img/real_img/week2-1-affinity-within-shot.jpg
week2-1,contrast-pair-a,2E7A180A-FE9E-4F17-B9A3-2FFCB5DC1DC0.jpeg,11_2E7A180A-FE9E-4F17-B9A3-2FFCB5DC1DC0.jpg,week2-1-contrast-pair-a.jpg,img/real_img/week2-1-contrast-pair-a.jpg
week2-1,contrast-pair-b,D15E5A8D-3B4A-48A7-B796-6359535B68F9.jpeg,31_D15E5A8D-3B4A-48A7-B796-6359535B68F9.jpg,week2-1-contrast-pair-b.jpg,img/real_img/week2-1-contrast-pair-b.jpg
week2-1,affinity-pair-a,BD721C5D-E2B8-41DC-8995-86C2CCD1DCAB.jpeg,28_BD721C5D-E2B8-41DC-8995-86C2CCD1DCAB.jpg,week2-1-affinity-pair-a.jpg,img/real_img/week2-1-affinity-pair-a.jpg
week2-1,affinity-pair-b,70A498E0-02FD-46C8-B6FB-C1231917435E.jpeg,22_70A498E0-02FD-46C8-B6FB-C1231917435E.jpg,week2-1-affinity-pair-b.jpg,img/real_img/week2-1-affinity-pair-b.jpg
week2-2,deep-space,63A0F3E9-59A4-4B07-AF4C-1B4DE2FD378B.jpeg,18_63A0F3E9-59A4-4B07-AF4C-1B4DE2FD378B.jpg,week2-2-space-deep.jpg,img/real_img/week2-2-space-deep.jpg
week2-2,flat-space-eliminated-depth,39980577-6E65-4C05-AE05-912AE8C3CA14.jpeg,12_39980577-6E65-4C05-AE05-912AE8C3CA14.jpg,week2-2-space-flat-eliminated-depth.jpg,img/real_img/week2-2-space-flat-eliminated-depth.jpg
week2-2,flat-space-reversed-depth,5E13309A-46CE-4B33-AB4E-6416682062E3.jpeg,16_5E13309A-46CE-4B33-AB4E-6416682062E3.jpg,week2-2-space-flat-reversed-depth.jpg,img/real_img/week2-2-space-flat-reversed-depth.jpg
week2-2,limited-space,61E73333-3F7B-46EA-A397-C624B87ED1A8.jpeg,17_61E73333-3F7B-46EA-A397-C624B87ED1A8.jpg,week2-2-space-limited.jpg,img/real_img/week2-2-space-limited.jpg
week2-2,ambiguous-space,BA8034A5-2852-4583-8BDD-0A9F51856231.jpeg,27_BA8034A5-2852-4583-8BDD-0A9F51856231.jpg,week2-2-space-ambiguous.jpg,img/real_img/week2-2-space-ambiguous.jpg
week2-2,surface-division,C9F6A173-0A87-46A5-AE5C-E90011880290.jpeg,30_C9F6A173-0A87-46A5-AE5C-E90011880290.jpg,week2-2-space-surface-division.jpg,img/real_img/week2-2-space-surface-division.jpg
week2-3,horizontal-line,16A74CAC-9697-494F-8E75-CC220B49290E.jpeg,03_16A74CAC-9697-494F-8E75-CC220B49290E.jpg,week2-3-line-horizontal.jpg,img/real_img/week2-3-line-horizontal.jpg
week2-3,vertical-line,C9F6A173-0A87-46A5-AE5C-E90011880290.jpeg,30_C9F6A173-0A87-46A5-AE5C-E90011880290.jpg,week2-3-line-vertical.jpg,img/real_img/week2-3-line-vertical.jpg
week2-3,diagonal-line,75C12DD5-D0F0-4A94-8849-9D719521217C.jpeg,24_75C12DD5-D0F0-4A94-8849-9D719521217C.jpg,week2-3-line-diagonal.jpg,img/real_img/week2-3-line-diagonal.jpg
week2-3,maximum-line-contrast,75C12DD5-D0F0-4A94-8849-9D719521217C.jpeg,24_75C12DD5-D0F0-4A94-8849-9D719521217C.jpg,week2-3-line-maximum-contrast.jpg,img/real_img/week2-3-line-maximum-contrast.jpg
week2-3,squares,C45EDAD5-F8B9-483B-AC44-AD1DD501C4FF.jpeg,29_C45EDAD5-F8B9-483B-AC44-AD1DD501C4FF.jpg,week2-3-shape-squares.jpg,img/real_img/week2-3-shape-squares.jpg
week2-3,circles,5B6B6E90-EC80-4022-8D4B-C7B41FE7AED1.jpeg,15_5B6B6E90-EC80-4022-8D4B-C7B41FE7AED1.jpg,week2-3-shape-circles.jpg,img/real_img/week2-3-shape-circles.jpg
week2-3,shape-contrast,9407FC1D-B185-458F-8F42-87FFD1607A27.jpeg,26_9407FC1D-B185-458F-8F42-87FFD1607A27.jpg,week2-3-shape-contrast.jpg,img/real_img/week2-3-shape-contrast.jpg
week3-2,tone-affinity-art-direction,2D066FD5-F970-462B-87BF-EFB615282F0A.jpeg,10_2D066FD5-F970-462B-87BF-EFB615282F0A.jpg,week3-2-tone-affinity-art-direction.jpg,img/real_img/week3-2-tone-affinity-art-direction.jpg
week3-2,tone-contrast-art-direction,C45EDAD5-F8B9-483B-AC44-AD1DD501C4FF.jpeg,29_C45EDAD5-F8B9-483B-AC44-AD1DD501C4FF.jpg,week3-2-tone-contrast-art-direction.jpg,img/real_img/week3-2-tone-contrast-art-direction.jpg
week3-2,tone-affinity-lighting,F5E39E29-1E5E-4D7E-A4D5-9FD02BE4C6F8.jpeg,36_F5E39E29-1E5E-4D7E-A4D5-9FD02BE4C6F8.jpg,week3-2-tone-affinity-lighting.jpg,img/real_img/week3-2-tone-affinity-lighting.jpg
week3-2,tone-contrast-lighting,Split Lighting - James.JPG,49_Split_Lighting_-_James.jpg,week3-2-tone-contrast-lighting.jpg,img/real_img/week3-2-tone-contrast-lighting.jpg
week3-2,tone-coincidence,75C12DD5-D0F0-4A94-8849-9D719521217C.jpeg,24_75C12DD5-D0F0-4A94-8849-9D719521217C.jpg,week3-2-tone-coincidence.jpg,img/real_img/week3-2-tone-coincidence.jpg
week3-2,tone-non-coincidence,2015732A-66F0-492C-A4BE-16DEF0B26230.jpeg,07_2015732A-66F0-492C-A4BE-16DEF0B26230.jpg,week3-2-tone-non-coincidence.jpg,img/real_img/week3-2-tone-non-coincidence.jpg
week3-3,color-affinity-saturation,2D066FD5-F970-462B-87BF-EFB615282F0A.jpeg,10_2D066FD5-F970-462B-87BF-EFB615282F0A.jpg,week3-3-color-affinity-saturation.jpg,img/real_img/week3-3-color-affinity-saturation.jpg
week3-3,color-contrast-saturation,C45EDAD5-F8B9-483B-AC44-AD1DD501C4FF.jpeg,29_C45EDAD5-F8B9-483B-AC44-AD1DD501C4FF.jpg,week3-3-color-contrast-saturation.jpg,img/real_img/week3-3-color-contrast-saturation.jpg
week3-3,color-warm-cool,2015732A-66F0-492C-A4BE-16DEF0B26230.jpeg,07_2015732A-66F0-492C-A4BE-16DEF0B26230.jpg,week3-3-color-warm-cool.jpg,img/real_img/week3-3-color-warm-cool.jpg
week3-3,color-one-hue,16B257EE-AA97-4391-99E5-2A0FDF9EDF2E.jpeg,04_16B257EE-AA97-4391-99E5-2A0FDF9EDF2E.jpg,week3-3-color-one-hue.jpg,img/real_img/week3-3-color-one-hue.jpg
week3-3,color-complementary,F1DF12F1-8F81-45E7-95AF-9786B1B55751.jpeg,35_F1DF12F1-8F81-45E7-95AF-9786B1B55751.jpg,week3-3-color-complementary.jpg,img/real_img/week3-3-color-complementary.jpg
week3-3,color-three-four-way,565426B1-22EA-4F63-9369-A26D22FCB6F9.jpeg,14_565426B1-22EA-4F63-9369-A26D22FCB6F9.jpg,week3-3-color-three-four-way.jpg,img/real_img/week3-3-color-three-four-way.jpg
